Brand,Category,Unnamed: 2,text,Predicted_Category
Deliveroo,Food / Dining,,Bought in Deliveroo for 100,Food / Dining
Just Eat,Food / Dining,,Bought in Just Eat for 100,Food / Dining
Foodpanda,Food / Dining,,Bought in Foodpanda for 100,Food / Dining
Glovo,Food / Dining,,Bought in Glovo for 100,Food / Dining
Postmates,Food / Dining,,Bought in Postmates for 100,Shopping
Talabat,Food / Dining,,Bought in Talabat for 100,Food / Dining
Rappi,Food / Dining,,Bought in Rappi for 100,Food / Dining
Menulog,Food / Dining,,Bought in Menulog for 100,Food / Dining
Deliveroo Italia,Food / Dining,,Bought in Deliveroo Italia for 100,Food / Dining
Takeaway.com,Food / Dining,,Bought in Takeaway.com for 100,Food / Dining
iFood,Food / Dining,,Bought in iFood for 100,Food / Dining
Meituan,Food / Dining,,Bought in Meituan for 100,Food / Dining
Ele.me,Food / Dining,,Bought in Ele.me for 100,Food / Dining
GrabFood,Food / Dining,,Bought in GrabFood for 100,Food / Dining
Foodora,Food / Dining,,Bought in Foodora for 100,Food / Dining
Bolt Food,Food / Dining,,Bought in Bolt Food for 100,Food / Dining
Line Man,Food / Dining,,Bought in Line Man for 100,Shopping
Baemin,Food / Dining,,Bought in Baemin for 100,Transport
PedidosYa,Food / Dining,,Bought in PedidosYa for 100,Food / Dining
Mr D Food,Food / Dining,,Bought in Mr D Food for 100,Food / Dining
Otlob,Food / Dining,,Bought in Otlob for 100,Food / Dining
Zesty,Food / Dining,,Bought in Zesty for 100,Food / Dining
Ola,Transport,,Bought in Ola for 100,Transport
Uber,Transport,,Bought in Uber for 100,Transport
inDrive,Transport,,Bought in inDrive for 100,Transport
Meru Cabs,Transport,,Bought in Meru Cabs for 100,Transport
Carzonrent (EasyCabs),Transport,,Bought in Carzonrent (EasyCabs) for 100,Transport
Savaari,Transport,,Bought in Savaari for 100,Transport
Rapido,Transport,,Bought in Rapido for 100,Transport
BluSmart,Transport,,Bought in BluSmart for 100,Transport
RedBus,Transport,,Bought in RedBus for 100,Transport
AbhiBus,Transport,,Bought in AbhiBus for 100,Transport
MakeMyTrip,Transport,,Bought in MakeMyTrip for 100,Transport
Paytm Bus Booking,Transport,,Bought in Paytm Bus Booking for 100,Transport
Travelyaari,Transport,,Bought in Travelyaari for 100,Transport
ClearTrip,Transport,,Bought in ClearTrip for 100,Transport
TicketGoose,Transport,,Bought in TicketGoose for 100,Transport
eTravelSmart,Transport,,Bought in eTravelSmart for 100,Transport
VIA,Transport,,Bought in VIA for 100,Transport
Cityflo,Transport,,Bought in Cityflo for 100,Transport
DTC Bus Routes,Transport,,Bought in DTC Bus Routes for 100,Transport
Chennai-One,Transport,,Bought in Chennai-One for 100,Transport
Goibibo,Transport,,Bought in Goibibo for 100,Transport
ConfirmTkt,Transport,,Bought in ConfirmTkt for 100,Transport
Paytm Travel,Transport,,Bought in Paytm Travel for 100,Transport
Ola,Transport,,Bought in Ola for 100,Transport
Uber,Transport,,Bought in Uber for 100,Transport
inDrive,Transport,,Bought in inDrive for 100,Transport
Meru Cabs,Transport,,Bought in Meru Cabs for 100,Transport
Carzonrent (EasyCabs),Transport,,Bought in Carzonrent (EasyCabs) for 100,Transport
Savaari,Transport,,Bought in Savaari for 100,Transport
Rapido,Transport,,Bought in Rapido for 100,Transport
BluSmart,Transport,,Bought in BluSmart for 100,Transport
Jugnoo,Transport,,Bought in Jugnoo for 100,Transport
Volta,Transport,,Bought in Volta for 100,Transport
Yaary,Transport,,Bought in Yaary for 100,Transport
Fasttrack Cabs,Transport,,Bought in Fasttrack Cabs for 100,Transport
Mega Cabs,Transport,,Bought in Mega Cabs for 100,Transport
Tab Cab,Transport,,Bought in Tab Cab for 100,Transport
NTL Taxi,Transport,,Bought in NTL Taxi for 100,Transport
My Taxi India,Transport,,Bought in My Taxi India for 100,Transport
Gozo Cabs,Transport,,Bought in Gozo Cabs for 100,Transport
Spice Cab,Transport,,Bought in Spice Cab for 100,Transport
ZoomCar,Transport,,Bought in ZoomCar for 100,Transport
Zust Go,Transport,,Bought in Zust Go for 100,Transport
BroomBoom Cabs,Transport,,Bought in BroomBoom Cabs for 100,Transport
RedBus,Transport,,Bought in RedBus for 100,Transport
AbhiBus,Transport,,Bought in AbhiBus for 100,Transport
MakeMyTrip,Transport,,Bought in MakeMyTrip for 100,Transport
Paytm Bus Booking,Transport,,Bought in Paytm Bus Booking for 100,Transport
Travelyaari,Transport,,Bought in Travelyaari for 100,Transport
ClearTrip,Transport,,Bought in ClearTrip for 100,Transport
TicketGoose,Transport,,Bought in TicketGoose for 100,Transport
eTravelSmart,Transport,,Bought in eTravelSmart for 100,Transport
VIA,Transport,,Bought in VIA for 100,Transport
Cityflo,Transport,,Bought in Cityflo for 100,Transport
DTC Bus Routes,Transport,,Bought in DTC Bus Routes for 100,Transport
Chennai-One,Transport,,Bought in Chennai-One for 100,Transport
CUMTA App,Transport,,Bought in CUMTA App for 100,Transport
Namma Yatri,Transport,,Bought in Namma Yatri for 100,Transport
Namma Transit,Transport,,Bought in Namma Transit for 100,Transport
Goibibo,Transport,,Bought in Goibibo for 100,Transport
ConfirmTkt,Transport,,Bought in ConfirmTkt for 100,Transport
Paytm Travel,Transport,,Bought in Paytm Travel for 100,Transport
Uber,Transport,,Bought in Uber for 100,Transport
Lyft,Transport,,Bought in Lyft for 100,Transport
Bolt,Transport,,Bought in Bolt for 100,Transport
Cabify,Transport,,Bought in Cabify for 100,Transport
FreeNow,Transport,,Bought in FreeNow for 100,Transport
Via,Transport,,Bought in Via for 100,Transport
Gett,Transport,,Bought in Gett for 100,Transport
Curb,Transport,,Bought in Curb for 100,Transport
Ola,Transport,,Bought in Ola for 100,Transport
BlaBlaCar,Transport,,Bought in BlaBlaCar for 100,Transport
Lyft Bikes & Scooters,Transport,,Bought in Lyft Bikes & Scooters for 100,Transport
Lime,Transport,,Bought in Lime for 100,Shopping
Bird,Transport,,Bought in Bird for 100,Shopping
Tier,Transport,,Bought in Tier for 100,Transport
Spin,Transport,,Bought in Spin for 100,Transport
Moovit,Transport,,Bought in Moovit for 100,Transport
Citymapper,Transport,,Bought in Citymapper for 100,Transport
Transit App,Transport,,Bought in Transit App for 100,Transport
RedBus EU,Transport,,Bought in RedBus EU for 100,Transport
FlixBus,Transport,,Bought in FlixBus for 100,Transport
Megabus,Transport,,Bought in Megabus for 100,Transport
Amtrak,Transport,,Bought in Amtrak for 100,Transport
Eurostar,Transport,,Bought in Eurostar for 100,Transport
SNCF,Transport,,Bought in SNCF for 100,Transport
Deutsche Bahn (DB),Transport,,Bought in Deutsche Bahn (DB) for 100,Transport
Italo Treno,Transport,,Bought in Italo Treno for 100,Shopping
Trainline,Transport,,Bought in Trainline for 100,Transport
JetBlue,Transport,,Bought in JetBlue for 100,Transport
Southwest Airlines,Transport,,Bought in Southwest Airlines for 100,Transport
Delta Airlines,Transport,,Bought in Delta Airlines for 100,Transport
American Airlines,Transport,,Bought in American Airlines for 100,Transport
United Airlines,Transport,,Bought in United Airlines for 100,Transport
KLM,Transport,,Bought in KLM for 100,Transport
Air France,Transport,,Bought in Air France for 100,Transport
Ryanair,Transport,,Bought in Ryanair for 100,Transport
EasyJet,Transport,,Bought in EasyJet for 100,Transport
Norwegian Air,Transport,,Bought in Norwegian Air for 100,Transport
Allegro,Transport,,Bought in Allegro for 100,Transport
Tier Mobility,Transport,,Bought in Tier Mobility for 100,Transport
Voi,Transport,,Bought in Voi for 100,Utility
Bolt Bikes,Transport,,Bought in Bolt Bikes for 100,Transport
Didi Chuxing,Transport,,Bought in Didi Chuxing for 100,Utility
Meituan Ride,Transport,,Bought in Meituan Ride for 100,Transport
Ele.me Mobility,Transport,,Bought in Ele.me Mobility for 100,Transport
Caocao,Transport,,Bought in Caocao for 100,Food / Dining
Shouqi Limousine & Chauffeur,Transport,,Bought in Shouqi Limousine & Chauffeur for 100,Transport
Ctrip,Transport,,Bought in Ctrip for 100,Transport
12306 China Railway,Transport,,Bought in 12306 China Railway for 100,Transport
RedBus Malaysia,Transport,,Bought in RedBus Malaysia for 100,Transport
Grab Malaysia,Transport,,Bought in Grab Malaysia for 100,Transport
Maxim Malaysia,Transport,,Bought in Maxim Malaysia for 100,Shopping
Public Transport Malaysia,Transport,,Bought in Public Transport Malaysia for 100,Transport
GoKL,Transport,,Bought in GoKL for 100,Utility
Grab Singapore,Transport,,Bought in Grab Singapore for 100,Transport
ComfortDelGro,Transport,,Bought in ComfortDelGro for 100,Transport
Gojek Singapore,Transport,,Bought in Gojek Singapore for 100,Transport
SBS Transit,Transport,,Bought in SBS Transit for 100,Transport
SMRT Connect,Transport,,Bought in SMRT Connect for 100,Utility
Kakao T,Transport,,Bought in Kakao T for 100,Transport
T Map Taxi,Transport,,Bought in T Map Taxi for 100,Transport
Naver Map,Transport,,Bought in Naver Map for 100,Transport
Bada Bus,Transport,,Bought in Bada Bus for 100,Transport
Baemin Ride,Transport,,Bought in Baemin Ride for 100,Transport
Uber Korea (Limited),Transport,,Bought in Uber Korea (Limited) for 100,Transport
Olleh Taxi,Transport,,Bought in Olleh Taxi for 100,Transport
KTX App,Transport,,Bought in KTX App for 100,Utility
Local Taxi Apps,Transport,,Bought in Local Taxi Apps for 100,Transport
State Transport Info,Transport,,Bought in State Transport Info for 100,Transport
Careem UAE,Transport,,Bought in Careem UAE for 100,Utility
Ola UAE,Transport,,Bought in Ola UAE for 100,Transport
Uber UAE,Transport,,Bought in Uber UAE for 100,Transport
RTA Dubai,Transport,,Bought in RTA Dubai for 100,Transport
Talabat UAE,Transport,,Bought in Talabat UAE for 100,Food / Dining
Deliveroo UAE,Transport,,Bought in Deliveroo UAE for 100,Food / Dining
GoRide Africa,Transport,,Bought in GoRide Africa for 100,Transport
Bolt Africa,Transport,,Bought in Bolt Africa for 100,Transport
Uber Africa,Transport,,Bought in Uber Africa for 100,Transport
Oga Africa,Transport,,Bought in Oga Africa for 100,Shopping
Little Taxi / Yango Africa,Transport,,Bought in Little Taxi / Yango Africa for 100,Transport
InDrive Africa,Transport,,Bought in InDrive Africa for 100,Transport
Fast Track / Local Taxis Africa,Transport,,Bought in Fast Track / Local Taxis Africa for 100,Transport
Metro Rail Apps Africa,Transport,,Bought in Metro Rail Apps Africa for 100,Transport
MyCiti Bus Cape Town,Transport,,Bought in MyCiti Bus Cape Town for 100,Transport
City Bus Johannesburg,Transport,,Bought in City Bus Johannesburg for 100,Transport
Minibus Services Kenya,Transport,,Bought in Minibus Services Kenya for 100,Transport
Transports State Nigeria,Transport,,Bought in Transports State Nigeria for 100,Transport
BSES Delhi,Utility,,Bought in BSES Delhi for 100,Utility
Tata Power,Utility,,Bought in Tata Power for 100,Utility
Reliance Energy,Utility,,Bought in Reliance Energy for 100,Utility
Adani Electricity,Utility,,Bought in Adani Electricity for 100,Utility
MSEB / BEST Mumbai,Utility,,Bought in MSEB / BEST Mumbai for 100,Utility
BESCOM,Utility,,Bought in BESCOM for 100,Shopping
NDPL,Utility,,Bought in NDPL for 100,Utility
Torrent Power,Utility,,Bought in Torrent Power for 100,Utility
JSW Energy,Utility,,Bought in JSW Energy for 100,Utility
Punjab State Power Corporation Ltd (PSPCL),Utility,,Bought in Punjab State Power Corporation Ltd (PSPCL) for 100,Utility
Haryana DISCOM,Utility,,Bought in Haryana DISCOM for 100,Utility
Maharashtra State Electricity Distribution Company (MSEDCL),Utility,,Bought in Maharashtra State Electricity Distribution Company (MSEDCL) for 100,Utility
Jio,Utility,,Bought in Jio for 100,Utility
Airtel,Utility,,Bought in Airtel for 100,Utility
BSNL,Utility,,Bought in BSNL for 100,Utility
Vodafone Idea (Vi),Utility,,Bought in Vodafone Idea (Vi) for 100,Utility
Tata Sky / Tata Play,Utility,,Bought in Tata Sky / Tata Play for 100,Utility
Dish TV,Utility,,Bought in Dish TV for 100,Utility
Sun Direct,Utility,,Bought in Sun Direct for 100,Utility
Hathway,Utility,,Bought in Hathway for 100,Food / Dining
ACT Fibernet,Utility,,Bought in ACT Fibernet for 100,Utility
MTNL,Utility,,Bought in MTNL for 100,Utility
Indane,Utility,,Bought in Indane for 100,Transport
Bharat Gas,Utility,,Bought in Bharat Gas for 100,Utility
HP Gas,Utility,,Bought in HP Gas for 100,Utility
GAIL,Utility,,Bought in GAIL for 100,Utility
WaterBoard Apps,Utility,,Bought in WaterBoard Apps for 100,Utility
Paytm,Utility,,Bought in Paytm for 100,Utility
PhonePe,Utility,,Bought in PhonePe for 100,Utility
Google Pay,Utility,,Bought in Google Pay for 100,Utility
BHIM UPI,Utility,,Bought in BHIM UPI for 100,Utility
Amazon Pay,Utility,,Bought in Amazon Pay for 100,Utility
Mobikwik,Utility,,Bought in Mobikwik for 100,Utility
Freecharge,Utility,,Bought in Freecharge for 100,Food / Dining
PG&E,Utility,,Bought in PG&E for 100,Utility
Con Edison,Utility,,Bought in Con Edison for 100,Utility
Duke Energy,Utility,,Bought in Duke Energy for 100,Utility
Southern California Edison,Utility,,Bought in Southern California Edison for 100,Utility
National Grid (US),Utility,,Bought in National Grid (US) for 100,Utility
Xcel Energy,Utility,,Bought in Xcel Energy for 100,Utility
Comcast Xfinity,Utility,,Bought in Comcast Xfinity for 100,Utility
Verizon,Utility,,Bought in Verizon for 100,Utility
AT&T,Utility,,Bought in AT&T for 100,Transport
Spectrum (Charter),Utility,,Bought in Spectrum (Charter) for 100,Utility
PG&E,Utility,,Bought in PG&E for 100,Utility
E.ON,Utility,,Bought in E.ON for 100,Utility
EDF (Électricité de France),Utility,,Bought in EDF (Électricité de France) for 100,Utility
Enel,Utility,,Bought in Enel for 100,Utility
Iberdrola,Utility,,Bought in Iberdrola for 100,Utility
British Gas,Utility,,Bought in British Gas for 100,Utility
SSE (UK),Utility,,Bought in SSE (UK) for 100,Utility
Vattenfall,Utility,,Bought in Vattenfall for 100,Utility
E.ON Energie (Germany),Utility,,Bought in E.ON Energie (Germany) for 100,Utility
RWE,Utility,,Bought in RWE for 100,Transport
OVO Energy,Utility,,Bought in OVO Energy for 100,Utility
Octopus Energy,Utility,,Bought in Octopus Energy for 100,Utility
Engie,Utility,,Bought in Engie for 100,Utility
Veolia,Utility,,Bought in Veolia for 100,Food / Dining
Thames Water,Utility,,Bought in Thames Water for 100,Utility
Suez,Utility,,Bought in Suez for 100,Utility
Paytm (US version),Utility,,Bought in Paytm (US version) for 100,Utility
Plum (Europe),Utility,,Bought in Plum (Europe) for 100,Food / Dining
Truebill / Rocket Money (US),Utility,,Bought in Truebill / Rocket Money (US) for 100,Utility
Bill.com (US),Utility,,Bought in Bill.com (US) for 100,Utility
Eskom,Utility,,Bought in Eskom for 100,Utility
KenGen,Utility,,Bought in KenGen for 100,Utility
Umeme,Utility,,Bought in Umeme for 100,Utility
Nampower,Utility,,Bought in Nampower for 100,Utility
Water & Sewerage Corporation (Kenya),Utility,,Bought in Water & Sewerage Corporation (Kenya) for 100,Utility
Abu Dhabi Distribution Company (ADDC),Utility,,Bought in Abu Dhabi Distribution Company (ADDC) for 100,Utility
Dubai Electricity & Water Authority (DEWA),Utility,,Bought in Dubai Electricity & Water Authority (DEWA) for 100,Utility
Etisalat UAE,Utility,,Bought in Etisalat UAE for 100,Utility
Du UAE,Utility,,Bought in Du UAE for 100,Shopping
Shenzhen Power Supply Bureau,Utility,,Bought in Shenzhen Power Supply Bureau for 100,Utility
State Grid Corporation of China,Utility,,Bought in State Grid Corporation of China for 100,Utility
China Southern Power Grid,Utility,,Bought in China Southern Power Grid for 100,Utility
China Mobile,Utility,,Bought in China Mobile for 100,Utility
China Telecom,Utility,,Bought in China Telecom for 100,Utility
China Unicom,Utility,,Bought in China Unicom for 100,Utility
SingTel,Utility,,Bought in SingTel for 100,Utility
StarHub,Utility,,Bought in StarHub for 100,Utility
M1 Limited,Utility,,Bought in M1 Limited for 100,Transport
Tenaga Nasional,Utility,,Bought in Tenaga Nasional for 100,Utility
Petronas Gas,Utility,,Bought in Petronas Gas for 100,Utility
TM (Telekom Malaysia),Utility,,Bought in TM (Telekom Malaysia) for 100,Utility
Maxis,Utility,,Bought in Maxis for 100,Transport
KT Corporation,Utility,,Bought in KT Corporation for 100,Utility
SK Telecom,Utility,,Bought in SK Telecom for 100,Utility
LG U+,Utility,,Bought in LG U+ for 100,Utility
KEPCO (Korea Electric Power Corporation),Utility,,Bought in KEPCO (Korea Electric Power Corporation) for 100,Utility
K-Water,Utility,,Bought in K-Water for 100,Utility
Korea Gas Corporation,Utility,,Bought in Korea Gas Corporation for 100,Utility
Korea Telecom (KT),Utility,,Bought in Korea Telecom (KT) for 100,Utility
MPT (Korea),Utility,,Bought in MPT (Korea) for 100,Utility
Electricity Authority of North Korea,Utility,,Bought in Electricity Authority of North Korea for 100,Utility
Netflix,Entertainment,,Bought in Netflix for 100,Entertainment
Disney+ Hotstar,Entertainment,,Bought in Disney+ Hotstar for 100,Entertainment
Amazon Prime Video,Entertainment,,Bought in Amazon Prime Video for 100,Entertainment
SonyLIV,Entertainment,,Bought in SonyLIV for 100,Entertainment
ZEE5,Entertainment,,Bought in ZEE5 for 100,Transport
BookMyShow,Entertainment,,Bought in BookMyShow for 100,Entertainment
PlayStation,Entertainment,,Bought in PlayStation for 100,Entertainment
Xbox,Entertainment,,Bought in Xbox for 100,Entertainment
Steam,Entertainment,,Bought in Steam for 100,Transport
Spotify,Entertainment,,Bought in Spotify for 100,Entertainment
JioSaavn,Entertainment,,Bought in JioSaavn for 100,Utility
Apollo Hospitals,Medical,,Bought in Apollo Hospitals for 100,Medical
Fortis Healthcare,Medical,,Bought in Fortis Healthcare for 100,Medical
Max Healthcare,Medical,,Bought in Max Healthcare for 100,Medical
MedPlus,Medical,,Bought in MedPlus for 100,Medical
1mg,Medical,,Bought in 1mg for 100,Transport
Netmeds,Medical,,Bought in Netmeds for 100,Medical
PharmEasy,Medical,,Bought in PharmEasy for 100,Medical
Cure.fit,Medical,,Bought in Cure.fit for 100,Medical
Cult.fit,Medical,,Bought in Cult.fit for 100,Shopping
Byju,Education,,Bought in Byju for 100,Transport
Udemy,Education,,Bought in Udemy for 100,Education
Coursera,Education,,Bought in Coursera for 100,Shopping
Unacademy,Education,,Bought in Unacademy for 100,Shopping
Vedantu,Education,,Bought in Vedantu for 100,Food / Dining
Amazon (Books),Education,,Bought in Amazon (Books) for 100,Entertainment
Flipkart (Books),Education,,Bought in Flipkart (Books) for 100,Food / Dining
Local Bookstores,Education,,Bought in Local Bookstores for 100,Food / Dining
HDFC Bank,Financial/Investments,,Bought in HDFC Bank for 100,Financial/Investments
ICICI Bank,Financial/Investments,,Bought in ICICI Bank for 100,Financial/Investments
SBI,Financial/Investments,,Bought in SBI for 100,Utility
Zerodha,Financial/Investments,,Bought in Zerodha for 100,Utility
Groww,Financial/Investments,,Bought in Groww for 100,Utility
PolicyBazaar,Financial/Investments,,Bought in PolicyBazaar for 100,Utility
Kotak Mahindra Bank,Financial/Investments,,Bought in Kotak Mahindra Bank for 100,Financial/Investments
Axis Bank,Financial/Investments,,Bought in Axis Bank for 100,Financial/Investments
Netflix,Entertainment,,Bought in Netflix for 100,Entertainment
Hulu,Entertainment,,Bought in Hulu for 100,Entertainment
Disney+ ,Entertainment,,Bought in Disney+  for 100,Entertainment
Amazon Prime Video,Entertainment,,Bought in Amazon Prime Video for 100,Entertainment
HBO Max,Entertainment,,Bought in HBO Max for 100,Entertainment
Spotify,Entertainment,,Bought in Spotify for 100,Entertainment
Apple Music,Entertainment,,Bought in Apple Music for 100,Entertainment
PlayStation,Entertainment,,Bought in PlayStation for 100,Entertainment
Xbox,Entertainment,,Bought in Xbox for 100,Entertainment
Steam,Entertainment,,Bought in Steam for 100,Transport
AMC Theatres,Entertainment,,Bought in AMC Theatres for 100,Entertainment
Cineworld,Entertainment,,Bought in Cineworld for 100,Entertainment
CVS Health,Medical,,Bought in CVS Health for 100,Medical
Walgreens,Medical,,Bought in Walgreens for 100,Shopping
Rite Aid,Medical,,Bought in Rite Aid for 100,Medical
Mayo Clinic,Medical,,Bought in Mayo Clinic for 100,Medical
Cleveland Clinic,Medical,,Bought in Cleveland Clinic for 100,Medical
NHS (UK),Medical,,Bought in NHS (UK) for 100,Medical
Boots UK,Medical,,Bought in Boots UK for 100,Shopping
Netmeds Europe,Medical,,Bought in Netmeds Europe for 100,Medical
Coursera,Education,,Bought in Coursera for 100,Shopping
Udemy,Education,,Bought in Udemy for 100,Education
Khan Academy,Education,,Bought in Khan Academy for 100,Shopping
edX,Education,,Bought in edX for 100,Utility
Skillshare,Education,,Bought in Skillshare for 100,Utility
Amazon (Books),Education,,Bought in Amazon (Books) for 100,Entertainment
Barnes & Noble,Education,,Bought in Barnes & Noble for 100,Shopping
Hachette,Education,,Bought in Hachette for 100,Shopping
HDFC Bank US (if applicable),Financial/Investments,,Bought in HDFC Bank US (if applicable) for 100,Financial/Investments
JPMorgan Chase,Financial/Investments,,Bought in JPMorgan Chase for 100,Shopping
Bank of America,Financial/Investments,,Bought in Bank of America for 100,Financial/Investments
Goldman Sachs,Financial/Investments,,Bought in Goldman Sachs for 100,Financial/Investments
Citibank,Financial/Investments,,Bought in Citibank for 100,Financial/Investments
Barclays,Financial/Investments,,Bought in Barclays for 100,Financial/Investments
HSBC,Financial/Investments,,Bought in HSBC for 100,Financial/Investments
Deutsche Bank,Financial/Investments,,Bought in Deutsche Bank for 100,Financial/Investments
Zerodha Europe (if applicable),Financial/Investments,,Bought in Zerodha Europe (if applicable) for 100,Utility
Robinhood,Financial/Investments,,Bought in Robinhood for 100,Shopping
Vanguard,Financial/Investments,,Bought in Vanguard for 100,Transport
Fidelity,Financial/Investments,,Bought in Fidelity for 100,Utility
Netflix,Entertainment,,Bought in Netflix for 100,Entertainment
Amazon Prime Video,Entertainment,,Bought in Amazon Prime Video for 100,Entertainment
Showmax,Entertainment,,Bought in Showmax for 100,Entertainment
Disney+ ,Entertainment,,Bought in Disney+  for 100,Entertainment
Spotify,Entertainment,,Bought in Spotify for 100,Entertainment
Apple Music,Entertainment,,Bought in Apple Music for 100,Entertainment
PlayStation,Entertainment,,Bought in PlayStation for 100,Entertainment
Xbox,Entertainment,,Bought in Xbox for 100,Entertainment
iTunes,Entertainment,,Bought in iTunes for 100,Entertainment
OSN Streaming, Entertainment,,Bought in OSN Streaming for 100,Entertainment
StarzPlay, Entertainment,,Bought in StarzPlay for 100,Entertainment
Shahid,Entertainment,,Bought in Shahid for 100,Food / Dining
Dubai Opera,Entertainment,,Bought in Dubai Opera for 100,Shopping
Sephora UAE,Medical,,Bought in Sephora UAE for 100,Shopping
Aster DM Healthcare, Medical,,Bought in Aster DM Healthcare for 100,Medical
NMC Health, Medical,,Bought in NMC Health for 100,Medical
Al Zahra Hospital,Medical,,Bought in Al Zahra Hospital for 100,Medical
Mediclinic Africa,Medical,,Bought in Mediclinic Africa for 100,Medical
Netcare Africa,Medical,,Bought in Netcare Africa for 100,Medical
Dis-Chem Africa,Medical,,Bought in Dis-Chem Africa for 100,Medical
Clicks South Africa,Medical,,Bought in Clicks South Africa for 100,Shopping
Coursera,Education,,Bought in Coursera for 100,Shopping
Udemy,Education,,Bought in Udemy for 100,Education
Khan Academy,Education,,Bought in Khan Academy for 100,Shopping
edX,Education,,Bought in edX for 100,Utility
Skillshare,Education,,Bought in Skillshare for 100,Utility
Byju’s UAE,Education,,Bought in Byju’s UAE for 100,Food / Dining
Amazon Books UAE,Education,,Bought in Amazon Books UAE for 100,Entertainment
Standard Chartered Bank UAE,Financial/Investments,,Bought in Standard Chartered Bank UAE for 100,Financial/Investments
Emirates NBD,Financial/Investments,,Bought in Emirates NBD for 100,Utility
Mashreq Bank,Financial/Investments,,Bought in Mashreq Bank for 100,Financial/Investments
Absa Bank,Financial/Investments,,Bought in Absa Bank for 100,Financial/Investments
Standard Bank,Financial/Investments,,Bought in Standard Bank for 100,Financial/Investments
Ecobank Africa,Financial/Investments,,Bought in Ecobank Africa for 100,Financial/Investments
First National Bank Africa,Financial/Investments,,Bought in First National Bank Africa for 100,Financial/Investments
Fidelity Africa,Financial/Investments,,Bought in Fidelity Africa for 100,Shopping
HSBC UAE,Financial/Investments,,Bought in HSBC UAE for 100,Financial/Investments
ADCB UAE,Financial/Investments,,Bought in ADCB UAE for 100,Utility
Netflix,Entertainment,,Bought in Netflix for 100,Entertainment
iQIYI,Entertainment,,Bought in iQIYI for 100,Entertainment
Tencent Video,Entertainment,,Bought in Tencent Video for 100,Entertainment
Youku,Entertainment,,Bought in Youku for 100,Food / Dining
Disney+ ,Entertainment,,Bought in Disney+  for 100,Entertainment
Spotify,Entertainment,,Bought in Spotify for 100,Entertainment
QQ Music,Entertainment,,Bought in QQ Music for 100,Entertainment
PlayStation,Entertainment,,Bought in PlayStation for 100,Entertainment
Xbox,Entertainment,,Bought in Xbox for 100,Entertainment
Garena Free Fire,Entertainment,,Bought in Garena Free Fire for 100,Food / Dining
Hotstar Singapore,Entertainment,,Bought in Hotstar Singapore for 100,Entertainment
Viu,Entertainment,,Bought in Viu for 100,Utility
Astro Go,Entertainment,,Bought in Astro Go for 100,Entertainment
iFlix Malaysia,Entertainment,,Bought in iFlix Malaysia for 100,Entertainment
Shahid / StarzPlay UAE branch (Malaysia/SEA),Entertainment,,Bought in Shahid / StarzPlay UAE branch (Malaysia/SEA) for 100,Entertainment
Raffles Medical Singapore,Medical,,Bought in Raffles Medical Singapore for 100,Medical
Singapore General Hospital,Medical,,Bought in Singapore General Hospital for 100,Medical
National University Hospital Singapore,Medical,,Bought in National University Hospital Singapore for 100,Medical
Tan Tock Seng Hospital,Medical,,Bought in Tan Tock Seng Hospital for 100,Medical
KPJ Healthcare Malaysia,Medical,,Bought in KPJ Healthcare Malaysia for 100,Medical
Pantai Hospital Malaysia,Medical,,Bought in Pantai Hospital Malaysia for 100,Medical
Gleneagles Hospital Singapore,Medical,,Bought in Gleneagles Hospital Singapore for 100,Medical
Samsung Medical Center South Korea,Medical,,Bought in Samsung Medical Center South Korea for 100,Medical
Seoul National University Hospital,Medical,,Bought in Seoul National University Hospital for 100,Medical
Asan Medical Center South Korea,Medical,,Bought in Asan Medical Center South Korea for 100,Medical
Pyongyang Medical University Hospital,Medical,,Bought in Pyongyang Medical University Hospital for 100,Medical
Coursera,Education,,Bought in Coursera for 100,Shopping
edX,Education,,Bought in edX for 100,Utility
Udemy,Education,,Bought in Udemy for 100,Education
Byju,Education,,Bought in Byju for 100,Transport
Khan Academy (Singapore),Education,,Bought in Khan Academy (Singapore) for 100,Shopping
FutureLearn,Education,,Bought in FutureLearn for 100,Utility
Skillshare,Education,,Bought in Skillshare for 100,Utility
National University of Singapore,Education,,Bought in National University of Singapore for 100,Medical
Nanyang Technological University,Education,,Bought in Nanyang Technological University for 100,Utility
Grab Academy (Singapore),Education,,Bought in Grab Academy (Singapore) for 100,Shopping
ICBC China,Financial/Investments,,Bought in ICBC China for 100,Financial/Investments
Bank of China,Financial/Investments,,Bought in Bank of China for 100,Financial/Investments
China Construction Bank,Financial/Investments,,Bought in China Construction Bank for 100,Financial/Investments
HSBC Singapore,Financial/Investments,,Bought in HSBC Singapore for 100,Financial/Investments
DBS Bank Singapore,Financial/Investments,,Bought in DBS Bank Singapore for 100,Financial/Investments
UOB Singapore,Financial/Investments,,Bought in UOB Singapore for 100,Financial/Investments
Maybank Malaysia,Financial/Investments,,Bought in Maybank Malaysia for 100,Financial/Investments
CIMB Bank Malaysia,Financial/Investments,,Bought in CIMB Bank Malaysia for 100,Financial/Investments
Standard Chartered Malaysia,Financial/Investments,,Bought in Standard Chartered Malaysia for 100,Transport
Shinhan Bank South Korea,Financial/Investments,,Bought in Shinhan Bank South Korea for 100,Financial/Investments
Kookmin Bank South Korea,Financial/Investments,,Bought in Kookmin Bank South Korea for 100,Financial/Investments
